,Filename,Prompt,Language,Score Level,total word,distance,Hpoint,xmin,alpha,mu,sigma,logtrue,file,pl_s,pl_C,pl_R2,log_d,log_m,log_k,log_R2
0,88.txt,P6,KOR,high,385,6,8,2,2.273181511,-10.38888732,3.025489914,0,88.txt,0.626724976,27.34648524,0.883300493,3.478245357,0.639537765,1.090635063,0.86927478
1,278.txt,P6,DEU,medium,321,11,7,3,2.421178127,-2.618378821,1.81715592,0,278.txt,0.720874124,31.64166436,0.962596124,3.573915034,0.757765365,1.032666458,0.951214405
2,348.txt,P1,TUR,high,363,8.306623863,6,2,2.398037525,-2.825648702,1.739209351,0,348.txt,0.621470157,21.7378834,0.965708645,3.352891771,0.87468207,0.849857372,0.889518799
3,666.txt,P2,ZHO,medium,362,4.69041576,6,5,3.410994673,0.835671946,0.746383182,0,666.txt,0.538645172,18.32049869,0.924139405,2.824980953,0.296708323,1.441791139,0.969115436
4,733.txt,P6,TEL,medium,344,10.63014581,7,6,3.12409942,-0.359382554,1.163868242,0,733.txt,0.646729493,25.99814867,0.93833523,3.393319143,0.638436114,1.093226664,0.926643415
5,976.txt,P2,ARA,low,170,6.480740698,5,1,1.849589281,-0.740072511,1.348269104,1,976.txt,0.578782997,13.49129631,0.89993139,2.586609228,0.428688674,1.287831984,0.912316755
6,1612.txt,P6,SPA,medium,348,17.05872211,7,2,2.133365198,-0.838299598,1.520038652,0,1612.txt,0.731497261,33.87550412,0.984423698,3.58689332,0.707525125,1.068682249,0.977835863
7,2024.txt,P3,DEU,medium,335,7,7,2,2.33187852,-0.160911986,1.127403451,0,2024.txt,0.566019926,19.71070454,0.94380725,2.818406116,0.287963282,1.474907431,0.971929564
8,2664.txt,P2,DEU,high,705,8.544003745,9,2,2.127901952,0.028509309,1.2397201,0,2664.txt,0.601990649,35.38989231,0.930992316,3.692007689,0.513770506,1.181171615,0.932533403
9,2829.txt,P7,HIN,high,331,6.782329983,6,2,2.310356483,-0.848761191,1.35532819,0,2829.txt,0.61135345,20.12529835,0.947629074,3.28859286,0.862887783,0.858654286,0.852104448
10,2991.txt,P8,JPN,high,373,6.164414003,6,2,2.370774614,-1.308780144,1.427738737,0,2991.txt,0.60240481,22.00037114,0.961582183,3.206279343,0.615955982,1.044759636,0.952370874
11,3044.txt,P5,JPN,low,221,4.242640687,5,2,2.272428164,0.663246505,0.830380846,0,3044.txt,0.556692104,15.20491426,0.931717068,2.583211682,0.276324751,1.535775558,0.975531855
12,3150.txt,P7,KOR,low,189,3,3,2,2.842516482,-3.650483,1.55902636,0,3150.txt,0.504422153,9.328050739,0.937580405,2.375748926,0.675729582,0.846643294,0.898718805
13,3228.txt,P4,FRA,medium,380,9.848857802,7,2,2.284853064,-1.860172058,1.635676733,0,3228.txt,0.674717143,28.96236058,0.974131773,3.502917771,0.746092917,0.987777256,0.95588693
14,3323.txt,P7,ZHO,medium,361,16.673332,7,2,2.011190313,0.802771781,1.016943944,0,3323.txt,0.706991554,34.77819167,0.974100265,3.256067618,0.324292124,1.535421875,0.933543834
15,3668.txt,P5,FRA,medium,347,12.88409873,6,2,2.16658634,0.25410701,1.112652289,0,3668.txt,0.677582887,26.92964004,0.981042864,3.46672976,0.784176819,0.961951829,0.955783984
16,4009.txt,P3,TUR,high,386,12.80624847,7,3,2.452233083,-0.525483262,1.328625254,0,4009.txt,0.70027757,31.9740891,0.988043334,3.482760325,0.651151141,1.075818344,0.987795313
17,4030.txt,P5,FRA,high,511,6.8556546,9,2,2.246613262,-45.72891699,6.034772541,0,4030.txt,0.627622921,29.43538517,0.878453786,3.901128143,1.113226875,0.771754266,0.557520961
18,4519.txt,P8,SPA,medium,221,3.741657387,5,3,2.901037684,-0.276466105,1.027661457,0,4519.txt,0.567609396,13.23862064,0.934558626,2.805021772,0.785581329,0.855363779,0.861517482
19,4750.txt,P7,FRA,high,335,3.31662479,7,11,14.24085778,2.437832095,0.010482131,0,4750.txt,0.526822379,17.30585146,0.828207438,2.930402483,0.379263837,1.329090014,0.875273214
20,4837.txt,P1,JPN,medium,246,3.31662479,5,2,2.552906198,0.009461924,0.923494407,0,4837.txt,0.504626679,11.78276444,0.926999344,2.506374227,0.43837013,1.146523089,0.939478234
21,4955.txt,P1,ITA,medium,326,4.69041576,7,3,2.544202154,-1.260061549,1.445059967,0,4955.txt,0.586271757,21.96896157,0.907264965,3.068164897,0.367683824,1.401215786,0.964186727
22,5105.txt,P5,ARA,low,354,30.46309242,6,2,2.171682086,-1.24450675,1.594761932,0,5105.txt,0.891330543,43.46356484,0.972183176,4.053540498,1.384524891,0.696581267,0.948773046
23,5301.txt,P3,KOR,low,194,3.741657387,4,2,2.525553854,0.54576128,0.72021799,0,5301.txt,0.512371576,9.962056894,0.927090757,2.469897237,0.670172091,0.882801047,0.885689368
24,5308.txt,P6,KOR,medium,193,7.483314774,5,2,2.391021042,-0.116649018,1.069049217,0,5308.txt,0.625391487,14.70380557,0.964727949,2.87312921,0.839465585,0.84644394,0.937444807
25,5497.txt,P2,ITA,medium,274,5,6,7,4.619566631,1.751087614,0.390856776,0,5497.txt,0.571560321,16.4852688,0.90430138,3.0303125,0.676063328,0.993377462,0.849212921
26,5565.txt,P3,TUR,low,197,6.8556546,5,2,2.450066986,-3.255847496,1.776202955,0,5565.txt,0.662090578,16.50564949,0.975345983,3.021068541,0.965191511,0.783804242,0.919682459
27,6324.txt,P3,TEL,medium,352,5.477225575,7,2,2.233897972,-3.025239743,1.939021163,0,6324.txt,0.624164984,24.40430124,0.909829916,3.435760918,0.730780277,1.003068921,0.851270443
28,6514.txt,P1,ARA,high,371,6.403124237,6,3,2.711182108,-0.618865961,1.199720612,0,6514.txt,0.581542195,20.53546122,0.955653089,3.098795154,0.525360652,1.127103369,0.95745608
29,6614.txt,P2,SPA,low,270,7.348469228,6,4,2.703902575,-0.539316817,1.276078372,0,6614.txt,0.637244001,23.44422244,0.920470545,3.126397283,0.433323888,1.353157051,0.966628856
30,6736.txt,P2,SPA,high,443,12.4498996,7,2,2.156282086,0.367521231,1.074351191,0,6736.txt,0.638763795,28.38820087,0.968059827,3.444932367,0.612949803,1.084137371,0.955199753
31,6767.txt,P1,KOR,medium,231,2.645751311,4,6,6.701971819,1.748744329,0.187372942,0,6767.txt,0.463867595,10.00948747,0.893778367,2.247685569,0.287466107,1.362470384,0.939692881
32,7406.txt,P2,TEL,medium,354,7.549834435,6,5,3.282517864,-6.186694321,1.914031009,0,7406.txt,0.609236481,22.69552248,0.954952065,3.112312225,0.473432026,1.213515151,0.96674193
33,7748.txt,P1,TUR,medium,284,7.681145748,5,1,1.867595409,-0.953992664,1.398441848,1,7748.txt,0.553789867,16.15410514,0.90789173,2.748345408,0.38679224,1.291664156,0.912428157
34,7965.txt,P5,JPN,medium,258,7.211102551,5,2,2.406835231,-10.46337137,2.853749354,0,7965.txt,0.689922631,20.08745598,0.972911883,3.348506963,1.273311114,0.638137669,0.810291919
35,7998.txt,P2,TUR,medium,321,6.782329983,6,3,2.553769914,-0.011927271,1.122517728,0,7998.txt,0.606539538,22.98870982,0.934384109,2.987166004,0.321998884,1.471603861,0.975051607
36,8117.txt,P8,ARA,high,311,9.433981132,6,3,2.594522501,0.703029691,0.861323746,0,8117.txt,0.594103868,20.10220207,0.937162892,2.871858958,0.368933535,1.33940342,0.95035815
37,8482.txt,P1,DEU,high,337,4.582575695,7,2,2.402620752,-5.376212487,2.177337124,0,8482.txt,0.576267979,19.14753927,0.894546043,3.135042031,0.642049062,1.01744254,0.863845125
38,8677.txt,P6,JPN,medium,212,3.464101615,5,8,6.091271614,2.146364625,0.166842732,0,8677.txt,0.561098571,13.93567896,0.897865102,2.767489863,0.567138427,1.088369443,0.889256705
39,8817.txt,P3,FRA,medium,286,5.916079783,6,2,2.282873109,0.266663565,1.006363482,0,8817.txt,0.58881098,17.81548534,0.952594792,3.013451896,0.61259396,1.045312547,0.936513974
40,8966.txt,P7,ZHO,medium,314,5.744562647,5,3,2.588491609,-0.52972255,1.244081677,0,8966.txt,0.60621781,19.94957367,0.933488855,3.195384914,0.723732791,0.963925654,0.887578117
41,9006.txt,P8,JPN,medium,259,5.916079783,5,3,2.880613535,0.524144543,0.801767808,0,9006.txt,0.545242263,14.57949239,0.945687485,2.612437413,0.375249495,1.280934804,0.95586234
42,9024.txt,P2,TEL,medium,329,25.43619468,7,8,3.331435034,-600.1830035,16.02786418,0,9024.txt,0.828070424,37.08723313,0.9600572,3.971205413,1.373967287,0.696301813,0.884263557
43,9329.txt,P8,SPA,high,314,8.544003745,7,2,2.287805584,-0.424861299,1.248310255,0,9329.txt,0.602249273,18.94657669,0.939258385,3.213594734,0.821873126,0.881461442,0.867962752
44,9443.txt,P1,HIN,medium,384,10,6,3,2.728825802,-1.642751864,1.416106116,0,9443.txt,0.602074713,22.02990619,0.96056467,3.22104191,0.624613421,1.036892658,0.944998052
45,9928.txt,P3,JPN,medium,261,2.828427125,6,2,2.154699197,0.869551963,0.81468057,0,9928.txt,0.517153553,13.74469282,0.806348584,2.778206839,0.490323233,1.15672856,0.809613906
46,10017.txt,P8,JPN,medium,234,3.16227766,5,7,9.040468785,-150.92807,4.063202589,1,10017.txt,0.511270863,11.53747776,0.85591222,2.662638403,0.643473494,0.948191714,0.795455938
47,10081.txt,P4,SPA,high,371,13.07669683,6,3,2.588173451,-2.154007266,1.602867091,0,10081.txt,0.668677533,25.99527123,0.978330798,3.454460251,0.857324059,0.883959317,0.949503816
48,10215.txt,P5,TEL,medium,305,16,5,2,2.445412208,-4.424562619,1.985005584,0,10215.txt,0.74012091,26.86528017,0.976241096,3.424809451,0.974297339,0.8143565,0.985640508
49,10226.txt,P1,JPN,low,88,10.09950494,2,2,3.221142337,-557.6251544,14.86713614,1,10226.txt,0.740679722,10.49460046,0.808261273,2.497352752,1.259039849,0.516881668,0.960881645
50,10229.txt,P8,ARA,low,66,2,2,4,5.809713858,1.492878404,0.026000192,0,10229.txt,0.480379851,5.486991023,0.919204794,1.71120042,0.467226296,1.053605421,0.923345842
51,10345.txt,P4,FRA,high,464,7.348469228,7,2,2.346476711,-2.370490115,1.693204177,0,10345.txt,0.646401468,26.42170504,0.953102682,3.709607352,1.174359057,0.705548135,0.731198723
52,10392.txt,P1,DEU,high,391,6.32455532,6,2,2.414497461,-4.907993122,2.092620403,0,10392.txt,0.597103025,22.03378531,0.901133478,3.299382107,0.724985839,0.952501701,0.852101125
53,10417.txt,P4,TUR,high,351,9,5,2,2.474103547,-1.319108377,1.35207368,0,10417.txt,0.611480173,19.57908758,0.980921786,3.198690799,0.848866889,0.835830534,0.951044353
54,10445.txt,P3,KOR,medium,293,7,5,4,3.09322963,-0.209845157,1.034399312,0,10445.txt,0.603342076,17.64307249,0.955729963,3.136515352,0.859546905,0.841063081,0.88159157
55,10535.txt,P7,ZHO,medium,405,8.831760866,7,2,2.097845076,0.102396979,1.242643687,0,10535.txt,0.646764681,26.8323453,0.945415145,3.708643594,1.014475273,0.821934364,0.751465511
56,10641.txt,P6,ARA,medium,362,10.48808848,7,3,2.57753068,-10.9276231,2.834423309,0,10641.txt,0.670368469,27.82834311,0.967067228,3.447310112,0.718586544,1.009096549,0.953698924
57,10670.txt,P7,ZHO,medium,359,15.74801575,7,1,1.811477849,-1.699736699,1.775179724,1,10670.txt,0.694583555,31.56395642,0.970285685,3.555649037,0.665536425,1.099880857,0.957151634
58,10769.txt,P1,SPA,high,361,6.633249581,6,2,2.492950363,-41.70935716,5.203111558,0,10769.txt,0.604441441,19.36538031,0.93870551,3.337047399,1.053462296,0.724878391,0.771955859
59,11203.txt,P3,DEU,medium,283,3,5,2,2.49624525,0.198007587,0.887309489,0,11203.txt,0.502756656,12.68363768,0.916784589,2.59329115,0.432507422,1.158183707,0.933351264
60,11347.txt,P3,HIN,medium,437,4.69041576,7,2,2.272937224,-1.014756128,1.43356953,0,11347.txt,0.591476242,22.22461974,0.907191094,3.491199116,0.924705867,0.824002105,0.730178545
61,11353.txt,P7,TUR,medium,315,6.92820323,5,2,2.344743645,-1.268732417,1.438501385,0,11353.txt,0.608755105,19.72912152,0.945229992,3.203087766,0.769995049,0.921461981,0.889989741
62,11425.txt,P7,HIN,high,322,4,6,2,2.306447819,0.048006176,1.072972226,0,11425.txt,0.558929258,17.28549949,0.905641148,3.018550671,0.594155073,1.04755044,0.884030998
63,11557.txt,P5,ARA,high,370,8.717797887,7,2,2.087882332,-0.426220483,1.442400497,0,11557.txt,0.673263286,30.26316496,0.941723041,3.682641148,0.818578687,0.979774207,0.863433825
64,11566.txt,P1,TEL,medium,300,4,6,2,2.216089422,0.643511901,0.888169882,0,11566.txt,0.542099383,17.36573923,0.89227934,2.790702416,0.296826141,1.477888778,0.963766858
65,11580.txt,P5,SPA,high,333,5.385164807,7,2,2.289755885,-0.253042308,1.19150885,0,11580.txt,0.578889643,19.1365671,0.9239151,3.118207228,0.613224513,1.047362945,0.900372782
66,11632.txt,P7,DEU,medium,255,6.8556546,5,2,2.361120782,-2.270916448,1.65796673,0,11632.txt,0.67030907,20.14874086,0.9594642,3.26785133,1.019534682,0.774248824,0.860883359
67,11644.txt,P6,JPN,medium,322,3.464101615,7,2,2.243630794,0.162394933,1.080101577,0,11644.txt,0.534743068,17.82265614,0.870022197,2.83653469,0.293867268,1.482787601,0.948974858
68,11717.txt,P5,KOR,high,418,4.69041576,7,3,2.517665388,-1.314302172,1.474817152,0,11717.txt,0.586862837,23.05825376,0.909194222,3.372319554,0.657167048,1.029571243,0.860387383
69,11923.txt,P3,TUR,medium,375,10.81665383,7,2,2.244407152,-6.777924371,2.57451568,0,11923.txt,0.712074668,30.38454758,0.977197985,3.818281528,1.194890445,0.742299992,0.789544963
70,12015.txt,P7,DEU,medium,305,11.83215957,6,2,2.299897104,-0.86073438,1.367994754,0,12015.txt,0.69074462,25.12170293,0.984741366,3.37327794,0.831205892,0.915768278,0.966598348
71,12040.txt,P8,SPA,medium,321,4.123105626,5,2,2.322877361,0.727895915,0.755190187,1,12040.txt,0.509673915,15.27986504,0.912000039,2.568826307,0.225139659,1.570702538,0.969726675
72,12072.txt,P7,FRA,medium,340,8.426149773,7,2,2.215266521,-1.235084866,1.546276833,0,12072.txt,0.649977479,25.9621264,0.949615057,3.386964699,0.658022963,1.068774583,0.939286862
73,12130.txt,P1,ARA,low,76,3.605551275,3,3,3.570539069,-1.441994189,1.045089196,0,12130.txt,0.599664384,8.088641076,0.941208077,2.173837113,0.710757902,0.908756487,0.928631948
74,12410.txt,P7,FRA,high,384,5.567764363,7,2,2.234079365,-0.127702192,1.195963338,0,12410.txt,0.589631197,23.02582681,0.92362822,3.205269021,0.489302109,1.200042195,0.945349043
75,12533.txt,P5,FRA,high,436,13,7,2,2.317395185,-1.85490369,1.604329138,0,12533.txt,0.66540292,27.74362758,0.980054859,3.655561875,1.015077312,0.795332426,0.898610342
