Prompt,Language,Score Level,total word,distance,Hpoint,xmin,alpha,mu,sigma,logtrue,file,pl_s,pl_C,pl_R2,log_d,log_m,log_k,log_R2
5,6,high,385,6.0,8,2.0,2.2731815109999998,-10.38888732,3.0254899139999996,0,88,0.626724976,27.34648524,0.883300493,3.478245357,0.639537765,1.090635063,0.86927478
5,1,medium,321,11.0,7,3.0,2.4211781269999997,-2.618378821,1.81715592,0,278,0.7208741240000001,31.64166436,0.962596124,3.5739150339999997,0.757765365,1.032666458,0.951214405
0,9,high,363,8.306623862999999,6,2.0,2.398037525,-2.825648702,1.739209351,0,348,0.6214701570000001,21.737883399999998,0.965708645,3.3528917710000004,0.87468207,0.849857372,0.8895187990000001
1,10,medium,362,4.69041576,6,5.0,3.4109946730000003,0.8356719459999999,0.746383182,0,666,0.5386451720000001,18.32049869,0.924139405,2.8249809530000003,0.296708323,1.441791139,0.9691154359999999
5,8,medium,344,10.63014581,7,6.0,3.12409942,-0.35938255399999997,1.163868242,0,733,0.6467294929999999,25.99814867,0.93833523,3.3933191430000003,0.638436114,1.0932266640000001,0.926643415
1,0,low,170,6.480740698,5,1.0,1.8495892809999999,-0.7400725109999999,1.348269104,1,976,0.578782997,13.49129631,0.89993139,2.586609228,0.428688674,1.287831984,0.912316755
5,7,medium,348,17.05872211,7,2.0,2.133365198,-0.838299598,1.520038652,0,1612,0.7314972609999999,33.87550412,0.984423698,3.58689332,0.707525125,1.068682249,0.9778358629999999
2,1,medium,335,7.0,7,2.0,2.33187852,-0.160911986,1.127403451,0,2024,0.5660199260000001,19.71070454,0.94380725,2.8184061160000002,0.287963282,1.4749074309999999,0.9719295640000001
1,1,high,705,8.544003745,9,2.0,2.1279019519999998,0.028509309,1.2397201,0,2664,0.601990649,35.38989231,0.930992316,3.692007689,0.513770506,1.181171615,0.932533403
6,3,high,331,6.7823299829999995,6,2.0,2.310356483,-0.8487611909999999,1.35532819,0,2829,0.61135345,20.12529835,0.9476290740000001,3.28859286,0.862887783,0.8586542859999999,0.852104448
7,5,high,373,6.164414002999999,6,2.0,2.370774614,-1.308780144,1.4277387369999999,0,2991,0.60240481,22.00037114,0.961582183,3.2062793430000003,0.615955982,1.044759636,0.9523708740000001
4,5,low,221,4.242640687,5,2.0,2.272428164,0.663246505,0.830380846,0,3044,0.556692104,15.20491426,0.931717068,2.583211682,0.27632475100000004,1.535775558,0.975531855
6,6,low,189,3.0,3,2.0,2.8425164819999997,-3.6504830000000004,1.55902636,0,3150,0.5044221529999999,9.328050739,0.937580405,2.375748926,0.675729582,0.846643294,0.898718805
3,2,medium,380,9.848857802000001,7,2.0,2.284853064,-1.860172058,1.6356767330000002,0,3228,0.674717143,28.96236058,0.974131773,3.5029177710000003,0.746092917,0.987777256,0.95588693
6,10,medium,361,16.673332000000002,7,2.0,2.011190313,0.8027717809999999,1.016943944,0,3323,0.706991554,34.77819167,0.974100265,3.2560676180000003,0.32429212399999996,1.535421875,0.9335438340000001
4,2,medium,347,12.88409873,6,2.0,2.16658634,0.25410701,1.1126522890000001,0,3668,0.677582887,26.92964004,0.9810428640000001,3.46672976,0.784176819,0.9619518290000001,0.9557839840000001
2,9,high,386,12.80624847,7,3.0,2.4522330830000003,-0.5254832620000001,1.328625254,0,4009,0.70027757,31.9740891,0.9880433340000001,3.482760325,0.651151141,1.075818344,0.987795313
4,2,high,511,6.8556546,9,2.0,2.246613262,-45.72891699,6.034772541000001,0,4030,0.6276229210000001,29.43538517,0.8784537859999999,3.901128143,1.113226875,0.771754266,0.557520961
7,7,medium,221,3.741657387,5,3.0,2.901037684,-0.276466105,1.027661457,0,4519,0.567609396,13.23862064,0.934558626,2.805021772,0.7855813290000001,0.855363779,0.861517482
6,2,high,335,3.31662479,7,11.0,14.24085778,2.437832095,0.010482131,0,4750,0.526822379,17.30585146,0.828207438,2.930402483,0.37926383700000005,1.3290900140000002,0.875273214
0,5,medium,246,3.31662479,5,2.0,2.552906198,0.009461924,0.9234944070000001,0,4837,0.504626679,11.78276444,0.9269993440000001,2.506374227,0.43837013,1.146523089,0.9394782340000001
0,4,medium,326,4.69041576,7,3.0,2.544202154,-1.260061549,1.445059967,0,4955,0.586271757,21.96896157,0.907264965,3.068164897,0.367683824,1.4012157859999999,0.9641867270000001
4,0,low,354,30.46309242,6,2.0,2.171682086,-1.24450675,1.594761932,0,5105,0.8913305429999999,43.46356484,0.9721831759999999,4.053540498,1.3845248909999999,0.696581267,0.9487730459999999
2,6,low,194,3.741657387,4,2.0,2.525553854,0.54576128,0.72021799,0,5301,0.512371576,9.962056894,0.927090757,2.469897237,0.670172091,0.8828010470000001,0.885689368
5,6,medium,193,7.483314774,5,2.0,2.3910210419999998,-0.11664901800000001,1.069049217,0,5308,0.625391487,14.70380557,0.964727949,2.87312921,0.839465585,0.84644394,0.937444807
1,4,medium,274,5.0,6,7.0,4.6195666310000005,1.751087614,0.390856776,0,5497,0.571560321,16.4852688,0.90430138,3.0303125,0.676063328,0.993377462,0.8492129209999999
2,9,low,197,6.8556546,5,2.0,2.450066986,-3.2558474960000003,1.776202955,0,5565,0.6620905779999999,16.50564949,0.975345983,3.0210685410000004,0.9651915109999999,0.783804242,0.919682459
2,8,medium,352,5.477225575,7,2.0,2.233897972,-3.025239743,1.939021163,0,6324,0.624164984,24.40430124,0.909829916,3.435760918,0.730780277,1.003068921,0.851270443
0,0,high,371,6.403124237,6,3.0,2.711182108,-0.618865961,1.1997206120000001,0,6514,0.581542195,20.53546122,0.955653089,3.098795154,0.525360652,1.127103369,0.95745608
1,7,low,270,7.348469228,6,4.0,2.703902575,-0.539316817,1.276078372,0,6614,0.637244001,23.44422244,0.920470545,3.126397283,0.433323888,1.353157051,0.9666288559999999
1,7,high,443,12.4498996,7,2.0,2.156282086,0.367521231,1.0743511909999999,0,6736,0.638763795,28.38820087,0.968059827,3.444932367,0.612949803,1.084137371,0.9551997529999999
0,6,medium,231,2.645751311,4,6.0,6.701971819,1.748744329,0.187372942,0,6767,0.463867595,10.00948747,0.893778367,2.247685569,0.28746610699999997,1.362470384,0.9396928809999999
1,8,medium,354,7.549834435,6,5.0,3.282517864,-6.186694321,1.9140310090000001,0,7406,0.609236481,22.69552248,0.954952065,3.112312225,0.473432026,1.213515151,0.96674193
0,9,medium,284,7.681145748,5,1.0,1.867595409,-0.953992664,1.398441848,1,7748,0.553789867,16.15410514,0.90789173,2.748345408,0.38679224,1.291664156,0.912428157
4,5,medium,258,7.211102551000001,5,2.0,2.406835231,-10.46337137,2.8537493539999996,0,7965,0.689922631,20.08745598,0.972911883,3.348506963,1.273311114,0.638137669,0.8102919190000001
1,9,medium,321,6.7823299829999995,6,3.0,2.553769914,-0.011927271000000001,1.122517728,0,7998,0.6065395379999999,22.98870982,0.934384109,2.9871660039999997,0.321998884,1.471603861,0.975051607
7,0,high,311,9.433981132000001,6,3.0,2.594522501,0.7030296909999999,0.861323746,0,8117,0.5941038679999999,20.10220207,0.937162892,2.8718589580000002,0.368933535,1.33940342,0.95035815
0,1,high,337,4.582575695,7,2.0,2.402620752,-5.376212487,2.177337124,0,8482,0.5762679789999999,19.14753927,0.894546043,3.1350420310000002,0.642049062,1.01744254,0.863845125
5,5,medium,212,3.464101615,5,8.0,6.091271614,2.146364625,0.166842732,0,8677,0.561098571,13.93567896,0.897865102,2.767489863,0.5671384270000001,1.088369443,0.889256705
2,2,medium,286,5.916079783,6,2.0,2.282873109,0.266663565,1.006363482,0,8817,0.58881098,17.81548534,0.9525947920000001,3.0134518960000003,0.61259396,1.045312547,0.936513974
6,10,medium,314,5.744562647,5,3.0,2.588491609,-0.52972255,1.244081677,0,8966,0.60621781,19.94957367,0.933488855,3.195384914,0.723732791,0.9639256540000001,0.887578117
7,5,medium,259,5.916079783,5,3.0,2.880613535,0.524144543,0.8017678079999999,0,9006,0.545242263,14.57949239,0.945687485,2.6124374130000003,0.375249495,1.2809348040000001,0.95586234
1,8,medium,329,25.43619468,7,8.0,3.3314350339999996,-600.1830035,16.02786418,0,9024,0.8280704240000001,37.08723313,0.9600572,3.9712054130000003,1.373967287,0.6963018129999999,0.884263557
7,7,high,314,8.544003745,7,2.0,2.287805584,-0.42486129899999997,1.248310255,0,9329,0.602249273,18.94657669,0.939258385,3.213594734,0.821873126,0.881461442,0.8679627520000001
0,3,medium,384,10.0,6,3.0,2.728825802,-1.642751864,1.416106116,0,9443,0.6020747129999999,22.02990619,0.96056467,3.22104191,0.6246134210000001,1.036892658,0.944998052
2,5,medium,261,2.828427125,6,2.0,2.154699197,0.8695519629999999,0.81468057,0,9928,0.517153553,13.74469282,0.8063485840000001,2.7782068389999997,0.49032323299999997,1.15672856,0.8096139059999999
7,5,medium,234,3.16227766,5,7.0,9.040468785,-150.92807,4.063202588999999,1,10017,0.511270863,11.53747776,0.85591222,2.6626384030000003,0.643473494,0.948191714,0.7954559379999999
3,7,high,371,13.07669683,6,3.0,2.588173451,-2.154007266,1.602867091,0,10081,0.668677533,25.99527123,0.978330798,3.4544602510000004,0.8573240590000001,0.8839593170000001,0.9495038159999999
4,8,medium,305,16.0,5,2.0,2.445412208,-4.424562619,1.985005584,0,10215,0.74012091,26.86528017,0.976241096,3.4248094510000002,0.974297339,0.8143564999999999,0.9856405079999999
0,5,low,88,10.09950494,2,2.0,3.221142337,-557.6251543999999,14.86713614,1,10226,0.740679722,10.49460046,0.808261273,2.497352752,1.259039849,0.516881668,0.960881645
7,0,low,66,2.0,2,4.0,5.809713857999999,1.492878404,0.026000192000000002,0,10229,0.480379851,5.486991023,0.9192047940000001,1.71120042,0.46722629600000004,1.0536054209999999,0.923345842
3,2,high,464,7.348469228,7,2.0,2.3464767109999998,-2.370490115,1.693204177,0,10345,0.646401468,26.42170504,0.953102682,3.709607352,1.174359057,0.705548135,0.731198723
0,1,high,391,6.32455532,6,2.0,2.414497461,-4.907993122,2.092620403,0,10392,0.597103025,22.03378531,0.901133478,3.299382107,0.724985839,0.952501701,0.852101125
3,9,high,351,9.0,5,2.0,2.474103547,-1.319108377,1.35207368,0,10417,0.611480173,19.57908758,0.9809217859999999,3.198690799,0.8488668890000001,0.8358305340000001,0.951044353
2,6,medium,293,7.0,5,4.0,3.09322963,-0.209845157,1.0343993120000001,0,10445,0.603342076,17.64307249,0.955729963,3.136515352,0.859546905,0.8410630809999999,0.88159157
6,10,medium,405,8.831760866,7,2.0,2.097845076,0.102396979,1.242643687,0,10535,0.6467646810000001,26.832345299999997,0.945415145,3.7086435939999998,1.014475273,0.8219343640000001,0.7514655109999999
5,0,medium,362,10.48808848,7,3.0,2.57753068,-10.9276231,2.834423309,0,10641,0.670368469,27.82834311,0.967067228,3.447310112,0.7185865440000001,1.0090965490000001,0.9536989240000001
6,10,medium,359,15.74801575,7,1.0,1.811477849,-1.699736699,1.775179724,1,10670,0.694583555,31.56395642,0.970285685,3.555649037,0.665536425,1.099880857,0.957151634
0,7,high,361,6.633249581,6,2.0,2.4929503630000003,-41.70935716,5.203111558,0,10769,0.604441441,19.36538031,0.93870551,3.337047399,1.053462296,0.724878391,0.7719558590000001
2,1,medium,283,3.0,5,2.0,2.49624525,0.19800758699999998,0.8873094890000001,0,11203,0.502756656,12.68363768,0.916784589,2.59329115,0.43250742200000003,1.158183707,0.933351264
2,3,medium,437,4.69041576,7,2.0,2.272937224,-1.014756128,1.43356953,0,11347,0.591476242,22.22461974,0.9071910940000001,3.491199116,0.924705867,0.824002105,0.730178545
6,9,medium,315,6.92820323,5,2.0,2.344743645,-1.268732417,1.438501385,0,11353,0.608755105,19.72912152,0.945229992,3.2030877660000003,0.769995049,0.921461981,0.889989741
6,3,high,322,4.0,6,2.0,2.306447819,0.048006176,1.0729722259999999,0,11425,0.5589292579999999,17.28549949,0.905641148,3.0185506710000003,0.5941550729999999,1.04755044,0.884030998
4,0,high,370,8.717797887,7,2.0,2.087882332,-0.426220483,1.442400497,0,11557,0.673263286,30.26316496,0.9417230409999999,3.682641148,0.818578687,0.9797742070000001,0.863433825
0,8,medium,300,4.0,6,2.0,2.216089422,0.643511901,0.888169882,0,11566,0.5420993829999999,17.36573923,0.89227934,2.7907024160000002,0.296826141,1.477888778,0.963766858
4,7,high,333,5.385164807000001,7,2.0,2.289755885,-0.253042308,1.19150885,0,11580,0.578889643,19.1365671,0.9239151,3.118207228,0.6132245129999999,1.047362945,0.900372782
6,1,medium,255,6.8556546,5,2.0,2.361120782,-2.270916448,1.65796673,0,11632,0.67030907,20.14874086,0.9594642,3.26785133,1.019534682,0.7742488240000001,0.860883359
5,5,medium,322,3.464101615,7,2.0,2.243630794,0.16239493300000002,1.080101577,0,11644,0.5347430679999999,17.82265614,0.870022197,2.83653469,0.293867268,1.4827876009999998,0.9489748579999999
4,6,high,418,4.69041576,7,3.0,2.517665388,-1.314302172,1.474817152,0,11717,0.5868628370000001,23.05825376,0.909194222,3.3723195539999997,0.6571670479999999,1.029571243,0.860387383
2,9,medium,375,10.81665383,7,2.0,2.244407152,-6.777924371,2.57451568,0,11923,0.712074668,30.38454758,0.977197985,3.818281528,1.194890445,0.7422999920000001,0.789544963
6,1,medium,305,11.83215957,6,2.0,2.2998971040000002,-0.86073438,1.3679947540000001,0,12015,0.69074462,25.12170293,0.984741366,3.37327794,0.8312058920000001,0.9157682779999999,0.966598348
7,7,medium,321,4.123105626,5,2.0,2.3228773609999998,0.727895915,0.7551901870000001,1,12040,0.509673915,15.27986504,0.912000039,2.5688263069999997,0.225139659,1.5707025380000001,0.969726675
6,2,medium,340,8.426149772999999,7,2.0,2.2152665209999998,-1.235084866,1.546276833,0,12072,0.649977479,25.9621264,0.949615057,3.386964699,0.658022963,1.068774583,0.939286862
0,0,low,76,3.605551275,3,3.0,3.5705390689999996,-1.441994189,1.045089196,0,12130,0.599664384,8.088641076,0.941208077,2.1738371130000003,0.710757902,0.908756487,0.9286319479999999
6,2,high,384,5.567764362999999,7,2.0,2.234079365,-0.127702192,1.1959633379999999,0,12410,0.589631197,23.02582681,0.92362822,3.2052690210000003,0.489302109,1.200042195,0.945349043
4,2,high,436,13.0,7,2.0,2.317395185,-1.85490369,1.6043291380000002,0,12533,0.66540292,27.74362758,0.9800548590000001,3.655561875,1.015077312,0.795332426,0.898610342
0,8,low,312,14.76482306,7,2.0,2.216750849,-3.3672230489999997,2.026691844,0,12600,0.7212204529999999,29.21155236,0.97815825,3.594828713,0.9133714629999999,0.905485221,0.9348069609999999
0,6,low,223,4.472135955,5,2.0,2.390432787,0.10634788699999999,0.989902277,0,12731,0.565852192,14.69394955,0.946010424,2.684895954,0.44551985299999997,1.2171227709999999,0.964758895
2,9,medium,302,3.464101615,6,9.0,8.481321947,2.230356867,0.110831586,0,12779,0.503668542,14.64228866,0.8709027220000001,2.618910182,0.261690222,1.503609266,0.942805563
0,1,medium,297,4.123105626,7,2.0,2.251504106,-0.726631825,1.3704886319999998,0,13148,0.5663744270000001,18.24176889,0.885527744,3.0100055739999996,0.488499468,1.200072217,0.9005347859999999
6,5,medium,295,7.810249676000001,6,2.0,2.230647174,-0.807416282,1.414324304,0,13194,0.678552333,24.35274318,0.968970201,3.444619537,0.9114503079999999,0.877506454,0.894999378
1,8,high,342,5.830951895,6,2.0,2.339111413,0.048347003,1.048216007,0,13210,0.585321355,19.25514862,0.9640316859999999,3.077258941,0.603717255,1.03960233,0.9522156740000001
5,6,medium,339,10.81665383,6,2.0,2.227331621,-1.050322425,1.4856657619999998,0,13940,0.7097868209999999,26.86383925,0.9862417109999999,3.686581432,1.238129936,0.701655348,0.821036542
1,2,medium,319,4.242640687,6,1.0,1.8510848530000001,-1.1452729179999999,1.501337497,1,14157,0.526378319,16.34690293,0.8792421440000001,2.81892789,0.347054015,1.366068321,0.918765555
1,8,medium,319,11.13552873,6,2.0,2.182406826,-0.044762536,1.213518156,0,14163,0.702704214,25.77089093,0.944444407,3.583342867,1.148073318,0.739310288,0.803053352
3,4,medium,291,4.123105626,6,2.0,2.141817455,0.679304508,0.9384930570000001,0,14288,0.592206335,18.36588595,0.9120905509999999,3.175679749,0.755035342,0.945586432,0.8292900390000001
3,0,medium,275,4.795831523,6,2.0,2.476437399,-12.19441998,2.958929735,0,14382,0.598628006,16.54348958,0.9311645540000001,3.098825118,0.93952937,0.7784485240000001,0.80976012
4,9,high,367,4.69041576,6,5.0,3.32269058,0.267796413,0.9163321040000001,0,14397,0.564776355,19.44934493,0.920532967,3.116620086,0.544360133,1.113059307,0.9105103999999999
4,5,low,274,6.557438524,7,2.0,2.19004527,0.568834663,0.949366849,0,14471,0.582932268,20.00326802,0.943708173,2.724525582,0.199555735,1.768036137,0.971488455
6,6,medium,297,5.916079783,7,2.0,2.2231505730000003,-0.41641657299999996,1.3017079329999999,0,15340,0.619504948,20.84505368,0.9445512079999999,3.241934451,0.7103007840000001,1.0006622859999998,0.9015476440000001
5,7,high,348,5.567764362999999,7,2.0,2.109124975,-0.321990192,1.383528689,0,15663,0.627603507,25.492720499999997,0.9161288590000001,3.43832474,0.644342898,1.097655665,0.8877656909999999
6,1,high,410,6.32455532,7,2.0,2.188831829,0.191722196,1.117280649,0,16003,0.613226009,22.89485676,0.940813515,3.541228665,0.998848242,0.792426823,0.7504530509999999
0,7,medium,254,23.28089345,6,4.0,2.60245155,-1.105004444,1.460132206,0,16038,0.8240247409999999,31.99998521,0.960422635,3.506311329,0.890163143,0.939987059,0.967486134
